type;key1;key2;descrLong;description;descrShort
<value>;/rtpflow/.*/_bitrate;/rtpflow/.*/_nbRtpFlow;Rate;Bit rate (kbit/s);The mean bite rate in kbit per second.
<value>;/rtpflow/.*/_packetLost;/rtpflow/.*/_nbRtpFlow;Lost;Packet lost (%);The percentage of lost packet.
<value>;/rtpflow/.*/_packetDuplicated;/rtpflow/.*/_nbRtpFlow;Dupl;Packet duplicated (%);The percentage of duplicated packet.
<value>;/rtpflow/.*/_packetMissSequence;/rtpflow/.*/_nbRtpFlow;Miss;Packet miss sequence (%);The percentage of miss sequence packet.
<value>;/rtpflow/.*/_deltaTime;/rtpflow/.*/_nbRtpFlow;Delta;Delta time (msec);The mean delta time (time between 2 RTP packets) in milleseconds.
<value>;/rtpflow/.*/_packetSpacing;/rtpflow/.*/_nbRtpFlow;Space;Packet spacing (msec);The mean packet spacing (time between theorical and the real timestamp) in milliseconds.
<value>;/rtpflow/.*/_jitter;/rtpflow/.*/_nbRtpFlow;Jitt;Jitter delay (ms);The mean jitter value (time between theorical and the real timestamp) in milliseconds.
<value>;/rtpflow/.*/_mos;/rtpflow/.*/_nbRtpFlow;Mos;MOS note [0-5];The approximate mos note (voice end user quality) from 0 to 5; 5 is the best quality; only available for G711 codec only.
